"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
123,"Sauce It Up","Lil Uzi Vert","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",78,0.131,0.813,0.528,0.125,0,-6.305,0.313,0.0715,79.532,207039
124,"No Sleep Leak","Lil Uzi Vert","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",63,0.681,0.788,0.689,0.22,0,-7.211,0.13,0.0112,136.045,189230
125,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert/Oh Wonder","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",82,0.696,0.703,0.757,0.106,0,-3.612,0.05,0.617,82.008,221747
126,"For Real","Lil Uzi Vert","alternative metal/industrial/industrial metal/industrial rock/nu metal/rap metal/rock/wrestling",63,0.615,0.902,0.673,0.289,0,-7.481,0.458,0.159,132.066,177048
127,"Feelings Mutual","Lil Uzi Vert","escape room/indie r&b/lgbtq+ hip hop/r&b",63,0.349,0.585,0.691,0.088,0,-6.015,0.259,0.105,125.978,233645
128,"Neon Guts (feat. Pharrell Williams)","Lil Uzi Vert/Pharrell Williams","escape room/indie r&b/lgbtq+ hip hop/r&b",67,0.412,0.859,0.563,0.0685,0,-6.635,0.112,0.0541,119.934,258789
129,"Early 20 Rager","Lil Uzi Vert","escape room/indie r&b/lgbtq+ hip hop/r&b",58,0.092,0.651,0.68,0.381,0,-6.057,0.0647,0.0209,127.001,274880
130,"UnFazed (feat. The Weeknd)","Lil Uzi Vert/The Weeknd","ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",67,0.458,0.778,0.707,0.111,0,-3.606,0.0746,0.0459,126.684,190355
131,"Pretty Mami","Lil Uzi Vert","ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",62,0.621,0.697,0.531,0.142,0,-5.527,0.0402,0.409,139.972,264124
132,"How To Talk","Lil Uzi Vert","ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",61,0.736,0.728,0.73,0.705,0,-5.402,0.213,0.741,136.052,201544
133,X,"Lil Uzi Vert","ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",66,0.301,0.623,0.58,0.394,0,-7.076,0.332,0.0043,163.159,173798
134,Malfunction,"Lil Uzi Vert","ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",60,0.447,0.427,0.698,0.0817,0,-6.06,0.247,0.34,93.611,199211
135,"Dark Queen","Lil Uzi Vert","ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",76,0.2,0.747,0.606,0.281,0,-5.286,0.172,0.222,155.055,173419
136,"XO TOUR Llif3","Lil Uzi Vert","ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",89,0.401,0.732,0.75,0.109,0,-6.366,0.231,0.00264,155.096,182707
137,"Poet (Black Bean)",Milo,"ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",38,0.522,0.48,0.434,0.351,0,-10.84,0.265,0.875,79.954,168796
138,Landscaping,Milo/Elucid,"ambient idm/bass music/chillwave/electronic/indietronica/intelligent dance music/microhouse/minimal techno/ninja/wonky",39,0.526,0.655,0.945,0.128,0,-5.852,0.381,0.73,140.431,192734
